Group,NWScriptConstant,CSharpEnum,Value,VisualTags,Location,Colors,SelectionHint,SourcePage,ImageUrl
BEAM,VFX_BEAM_LIGHTNING,Vfx_Beam_Lightning,73,"Beam; lightning; location body; colors blue, white",Body,"Blue, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/4/4e/Beam.bmlightning.jpg
BEAM,VFX_BEAM_FIRE,Vfx_Beam_Fire,210,"Beam; fire; location body; colors fire, yellow",Body,"Fire, yellow",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/e/ee/Beam.bmfire.jpg
BEAM,VFX_BEAM_COLD,Vfx_Beam_Cold,211,"Beam; cold; location body; colors blue, white",Body,"Blue, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/f/ff/Beam.bmcold.jpg
BEAM,VFX_BEAM_HOLY,Vfx_Beam_Holy,212,Beam; holy; location body; colors yellow,Body,Yellow,Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/9/97/Beam.holy.jpg
BEAM,VFX_BEAM_MIND,Vfx_Beam_Mind,213,"Beam; mind; location body; colors purple, white",Body,"Purple, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/2/2d/Beam.bmmind.jpg
BEAM,VFX_BEAM_EVIL,Vfx_Beam_Evil,214,"Beam; evil; location body; colors red, white",Body,"Red, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/f/f0/Beam.bmevil.jpg
BEAM,VFX_BEAM_ODD,Vfx_Beam_Odd,215,"Beam; odd; location body; colors purple, white",Body,"Purple, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/7/7c/Beam.bmodd.jpg
BEAM,VFX_BEAM_FIRE_LASH,Vfx_Beam_Fire_Lash,216,"Beam; fire lash; location body; colors fire, yellow",Body,"Fire, yellow",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/9/97/Beam.bmfirelash.jpg
BEAM,VFX_BEAM_SILENT_LIGHTNING,Vfx_Beam_Silent_Lightning,307,"Beam; silent lightning; location body; colors blue, white",Body,"Blue, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/4/4e/Beam.bmlightning.jpg
BEAM,VFX_BEAM_SILENT_FIRE,Vfx_Beam_Silent_Fire,308,"Beam; silent fire; location body; colors fire, yellow",Body,"Fire, yellow",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/e/ee/Beam.bmfire.jpg
BEAM,VFX_BEAM_SILENT_COLD,Vfx_Beam_Silent_Cold,309,"Beam; silent cold; location body; colors blue, white",Body,"Blue, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/f/ff/Beam.bmcold.jpg
BEAM,VFX_BEAM_SILENT_HOLY,Vfx_Beam_Silent_Holy,310,Beam; silent holy; location body; colors yellow,Body,Yellow,Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/9/97/Beam.holy.jpg
BEAM,VFX_BEAM_SILENT_MIND,Vfx_Beam_Silent_Mind,311,"Beam; silent mind; location body; colors purple, white",Body,"Purple, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/2/2d/Beam.bmmind.jpg
BEAM,VFX_BEAM_SILENT_EVIL,Vfx_Beam_Silent_Evil,312,"Beam; silent evil; location body; colors red, white",Body,"Red, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/f/f0/Beam.bmevil.jpg
BEAM,VFX_BEAM_SILENT_ODD,Vfx_Beam_Silent_Odd,313,"Beam; silent odd; location body; colors purple, white",Body,"Purple, white",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/7/7c/Beam.bmodd.jpg
